search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 13
CAND 35090518125 9995430 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (4457, 1)]
CAND 44396551875 8470650 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5639, 1)]
CAND 44412298125 8468070 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5641, 1)]
CAND 44459536875 8460330 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5647, 1)]
CAND 44491029375 8455170 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5651, 1)]
CAND 44506775625 8452590 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5653, 1)]
CAND 44538268125 8447430 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5657, 1)]
CAND 44554014375 8444850 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5659, 1)]
CAND 44632745625 8431950 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5669, 1)]
CAND 44742969375 8413890 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5683, 1)]
CAND 44790208125 8406150 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5689, 1)]
CAND 44821700625 8400990 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5693, 1)]
CAND 44884685625 8390670 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5701, 1)]
CAND 44963416875 8377770 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5711, 1)]
CAND 45010655625 8370030 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5717, 1)]
CAND 45168118125 8344230 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5737, 1)]
CAND 45199610625 8339070 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5741, 1)]
CAND 45215356875 8336490 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5743, 1)]
CAND 45262595625 8328750 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5749, 1)]
CAND 45498789375 8290050 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5779, 1)]
CAND 45530281875 8284890 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5783, 1)]
CAND 45593266875 8274570 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5791, 1)]
CAND 45671998125 8261670 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5801, 1)]
CAND 45719236875 8253930 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5807, 1)]
CAND 45766475625 8246190 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5813, 1)]
CAND 45829460625 8235870 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5821, 1)]
CAND 45876699375 8228130 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5827, 1)]
CAND 45971176875 8212650 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5839, 1)]
CAND 46002669375 8207490 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5843, 1)]
CAND 46049908125 8199750 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5849, 1)]
CAND 46065654375 8197170 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5851, 1)]
CAND 46112893125 8189430 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5857, 1)]
CAND 46144385625 8184270 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5861, 1)]
CAND 46191624375 8176530 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5867, 1)]
CAND 46207370625 8173950 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5869, 1)]
CAND 46286101875 8161050 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5879, 1)]
CAND 46301848125 8158470 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5881, 1)]
CAND 46427818125 8137830 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5897, 1)]
CAND 46475056875 8130090 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5903, 1)]
CAND 46632519375 8104290 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5923, 1)]
CAND 46664011875 8099130 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5927, 1)]
CAND 46758489375 8083650 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5939, 1)]
CAND 46868713125 8065590 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5953, 1)]
CAND 47089160625 8029470 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5981, 1)]
CAND 47136399375 8021730 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (5987, 1)]
CAND 47293861875 7995930 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6007, 1)]
CAND 47325354375 7990770 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6011, 1)]
CAND 47467070625 7967550 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6029, 1)]
CAND 47530055625 7957230 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6037, 1)]
